word1,word2,similarity_out_of_7,similarity
burger,sandwich,6,8.333333333333334
blue,violet,6,8.333333333333334
splash,wash,4,5.0
rust,rusty,7,10.0
snake,strawberry,1,0.0
arrow,boxer,1,0.0
room,staircase,4,5.0
cloud,kitten,1,0.0
moss,plant,5,6.666666666666667
guy,people,5,6.666666666666667
nail,wolf,1,0.0
hamster,party,1,0.0
glass,vinyl,6,8.333333333333334
boy,gate,1,0.0
city,mill,4,5.0
blossom,orange,3,3.3333333333333335
leave,play,1,0.0
mill,puddle,1,0.0
knit,stitch,5,6.666666666666667
tunnel,underground,5,6.666666666666667
lamb,mother,3,3.3333333333333335
run,train,4,5.0
bedroom,ceiling,5,6.666666666666667
explosion,table,1,0.0
dessert,eye,1,0.0
animal,sandwich,1,0.0
forest,tropical,5,6.666666666666667
bag,cop,1,0.0
husky,play,3,3.3333333333333335
daffodil,wool,2,1.6666666666666667
iron,rusty,5,6.666666666666667
patio,pool,5,6.666666666666667
leather,sunshine,2,1.6666666666666667
horse,work,4,5.0
red,yellow,6,8.333333333333334
green,number,1,0.0
dessert,head,1,0.0
costume,ocean,1,0.0
collage,stream,1,0.0
garden,house,5,6.666666666666667
fruit,strawberry,6,8.333333333333334
jean,shirt,6,8.333333333333334
bath,panorama,2,1.6666666666666667
airplane,camera,1,0.0
downtown,metro,5,6.666666666666667
blue,shade,5,6.666666666666667
dawn,sun,5,6.666666666666667
breakfast,sleep,2,1.6666666666666667
coin,musician,1,0.0
family,red,1,0.0
green,red,5,6.666666666666667
garage,kitchen,5,6.666666666666667
brick,porch,2,1.6666666666666667
eagle,feather,5,6.666666666666667
color,shade,6,8.333333333333334
lingerie,underground,1,0.0
harbor,sea,6,8.333333333333334
fun,sexy,4,5.0
cake,rusty,1,0.0
city,live,4,5.0
foot,outdoor,3,3.3333333333333335
nest,stork,5,6.666666666666667
cold,frozen,7,10.0
stripe,urban,1,0.0
river,scenery,5,6.666666666666667
bedroom,pool,4,5.0
diner,muscle,1,0.0
action,truck,1,0.0
lily,plant,6,8.333333333333334
fly,keyboard,2,1.6666666666666667
cute,fashion,3,3.3333333333333335
cooking,salad,5,6.666666666666667
lip,smile,6,8.333333333333334
bag,dude,1,0.0
cooking,food,6,8.333333333333334
church,porch,4,5.0
breakfast,kitchen,5,6.666666666666667
monkey,oak,2,1.6666666666666667
apartment,staircase,4,5.0
bag,wire,3,3.3333333333333335
guy,stand,2,1.6666666666666667
cat,kitten,7,10.0
giraffe,zebra,6,8.333333333333334
bacon,meat,6,8.333333333333334
sit,stop,4,5.0
interior,roof,5,6.666666666666667
bay,parking,2,1.6666666666666667
lunch,morning,4,5.0
brown,yellow,6,8.333333333333334
ocean,water,6,8.333333333333334
angel,sculpture,5,6.666666666666667
drive,lego,1,0.0
hill,scenery,5,6.666666666666667
bay,curve,2,1.6666666666666667
breakfast,night,3,3.3333333333333335
outfit,sock,5,6.666666666666667
guitar,nude,1,0.0
smile,stand,1,0.0
foliage,restaurant,1,0.0
apartment,bathroom,6,8.333333333333334
paint,puddle,2,1.6666666666666667
beef,meat,6,8.333333333333334
frost,winter,6,8.333333333333334
bathroom,room,6,8.333333333333334
beef,deer,4,5.0
black,cigarette,2,1.6666666666666667
clothes,dress,7,10.0
marble,statue,5,6.666666666666667
smoking,sunny,1,0.0
kitten,travel,1,0.0
hill,mountain,6,8.333333333333334
bedroom,sleep,6,8.333333333333334
beef,potato,5,6.666666666666667
bike,chopper,4,5.0
evening,sleep,5,6.666666666666667
salad,tomato,6,8.333333333333334
bath,patio,4,5.0
gull,mill,3,3.3333333333333335
face,tear,5,6.666666666666667
fruit,nut,5,6.666666666666667
arm,outdoor,1,0.0
food,meat,6,8.333333333333334
grass,lawn,6,8.333333333333334
fish,theatre,1,0.0
lick,sit,1,0.0
portrait,rocket,1,0.0
computer,railway,1,0.0
husky,painting,2,1.6666666666666667
cemetery,cone,1,0.0
branch,tea,5,6.666666666666667
cherry,fruit,6,8.333333333333334
automobile,vehicle,6,8.333333333333334
chess,toy,3,3.3333333333333335
ancient,pod,1,0.0
happy,rusty,1,0.0
burger,eat,6,8.333333333333334
mushroom,salad,6,8.333333333333334
skateboard,swimsuit,2,1.6666666666666667
crochet,jewelry,5,6.666666666666667
autumn,summer,6,8.333333333333334
poodle,puppy,2,1.6666666666666667
brick,staircase,4,5.0
fun,lego,5,6.666666666666667
fish,rocket,1,0.0
guy,kid,6,8.333333333333334
jazz,piano,6,8.333333333333334
live,race,2,1.6666666666666667
bride,dress,6,8.333333333333334
ivy,plant,6,8.333333333333334
bright,light,6,8.333333333333334
subway,underground,6,8.333333333333334
bucket,insect,3,3.3333333333333335
shore,tear,1,0.0
band,punk,5,6.666666666666667
holiday,vacation,7,10.0
sit,sleep,5,6.666666666666667
station,underground,5,6.666666666666667
subway,valentine,1,0.0
happy,sexy,3,3.3333333333333335
feel,sit,1,0.0
floor,kitchen,5,6.666666666666667
hotel,restaurant,6,8.333333333333334
jean,wash,5,6.666666666666667
parking,underground,5,6.666666666666667
origami,stadium,1,0.0
feel,smile,2,1.6666666666666667
amphibian,flamingo,3,3.3333333333333335
sink,sunset,1,0.0
bright,fruit,1,0.0
bacon,bread,4,5.0
garden,lawn,6,8.333333333333334
orange,school,1,0.0
lab,spider,3,3.3333333333333335
dude,hang,2,1.6666666666666667
clown,jellyfish,1,0.0
kitten,rain,1,0.0
boxer,lighthouse,1,0.0
porch,tower,3,3.3333333333333335
feel,kiss,4,5.0
handle,terrier,1,0.0
strawberry,sweet,6,8.333333333333334
flower,violet,5,6.666666666666667
dance,hotel,3,3.3333333333333335
man,sexy,4,5.0
leave,stop,4,5.0
cherry,grape,6,8.333333333333334
figure,skating,5,6.666666666666667
puddle,water,6,8.333333333333334
cherry,vine,4,5.0
military,soldier,7,10.0
restaurant,shopping,4,5.0
paint,picture,5,6.666666666666667
chicken,knit,1,0.0
bear,subway,1,0.0
baseball,play,6,8.333333333333334
misty,sunrise,5,6.666666666666667
art,exhibition,6,8.333333333333334
lawn,sleep,2,1.6666666666666667
camera,rally,2,1.6666666666666667
cute,sit,1,0.0
party,scooter,1,0.0
diner,restaurant,6,8.333333333333334
dark,sand,3,3.3333333333333335
bed,floor,3,3.3333333333333335
lake,water,6,8.333333333333334
city,downtown,6,8.333333333333334
rusty,shade,2,1.6666666666666667
brown,demolition,1,0.0
boat,sailing,6,8.333333333333334
cute,haircut,5,6.666666666666667
light,sunlight,6,8.333333333333334
guy,sport,4,5.0
leave,walk,4,5.0
staircase,wall,4,5.0
dude,fun,4,5.0
office,table,5,6.666666666666667
fruit,orange,5,6.666666666666667
apartment,beach,3,3.3333333333333335
town,village,6,8.333333333333334
feline,reptile,3,3.3333333333333335
tall,tower,5,6.666666666666667
dew,parrot,1,0.0
coffee,lunch,5,6.666666666666667
cold,frost,6,8.333333333333334
mist,wet,5,6.666666666666667
cone,windmill,1,0.0
military,wasp,1,0.0
dessert,strawberry,5,6.666666666666667
cake,library,1,0.0
eat,food,6,8.333333333333334
hawk,owl,6,8.333333333333334
cactus,porch,4,5.0
road,sidewalk,6,8.333333333333334
makeup,reflection,2,1.6666666666666667
bike,flame,1,0.0
pillow,stone,2,1.6666666666666667
sunshine,winter,3,3.3333333333333335
escalator,redhead,1,0.0
boardwalk,park,4,5.0
orange,salad,2,1.6666666666666667
museum,scratch,1,0.0
punk,skyscraper,1,0.0
furniture,nature,2,1.6666666666666667
explosion,stencil,1,0.0
camera,mallard,1,0.0
ancient,ruin,6,8.333333333333334
stand,walk,6,8.333333333333334
apple,cherry,6,8.333333333333334
hummingbird,moss,3,3.3333333333333335
dinner,evening,5,6.666666666666667
forest,oak,6,8.333333333333334
sit,stand,6,8.333333333333334
ceiling,marble,4,5.0
salad,soup,6,8.333333333333334
couple,race,1,0.0
skull,storm,1,0.0
skyline,tall,4,5.0
pet,poodle,2,1.6666666666666667
sky,sunshine,5,6.666666666666667
arch,bridge,6,8.333333333333334
face,glitter,2,1.6666666666666667
airport,traffic,5,6.666666666666667
rail,train,6,8.333333333333334
grey,rusty,4,5.0
scenery,waterfall,5,6.666666666666667
harbor,shore,5,6.666666666666667
garbage,jean,1,0.0
rock,sing,6,8.333333333333334
family,female,5,6.666666666666667
escalator,underground,3,3.3333333333333335
santa,table,1,0.0
city,small,4,5.0
guitar,vinyl,4,5.0
cottage,garden,6,8.333333333333334
dome,uniform,2,1.6666666666666667
path,sunflower,2,1.6666666666666667
grass,ruin,3,3.3333333333333335
fishing,harbour,5,6.666666666666667
coast,downtown,3,3.3333333333333335
cocktail,write,1,0.0
bread,cliff,1,0.0
bed,furniture,5,6.666666666666667
gold,silver,6,8.333333333333334
rusty,tear,1,0.0
relax,sit,5,6.666666666666667
smile,view,2,1.6666666666666667
aircraft,guy,2,1.6666666666666667
bird,gull,6,8.333333333333334
cat,paw,6,8.333333333333334
diamond,stencil,2,1.6666666666666667
bacon,salad,5,6.666666666666667
blue,green,6,8.333333333333334
bloom,foliage,6,8.333333333333334
scenery,skyline,6,8.333333333333334
church,soldier,2,1.6666666666666667
bird,dragonfly,4,5.0
parrot,reptile,4,5.0
house,poster,2,1.6666666666666667
dude,husky,2,1.6666666666666667
journal,squirrel,1,0.0
guy,poodle,1,0.0
bath,bedroom,5,6.666666666666667
diner,eat,6,8.333333333333334
feather,reptile,2,1.6666666666666667
abandon,crane,1,0.0
dude,sexy,4,5.0
shade,sunlight,5,6.666666666666667
amphibian,frog,6,8.333333333333334
fun,idea,4,5.0
carrot,memorial,1,0.0
bird,insect,5,6.666666666666667
cottage,patio,4,5.0
nail,rusty,5,6.666666666666667
carrot,salad,6,8.333333333333334
dirt,dirty,7,10.0
hill,valley,6,8.333333333333334
amphibian,lizard,6,8.333333333333334
burger,dessert,4,5.0
duck,goose,6,8.333333333333334
brown,feather,4,5.0
fire,movie,1,0.0
beetle,chocolate,1,0.0
flood,neon,1,0.0
chapel,dusk,2,1.6666666666666667
eat,truck,1,0.0
fashion,outfit,6,8.333333333333334
branch,protest,1,0.0
brown,white,5,6.666666666666667
cemetery,graveyard,7,10.0
crystal,silhouette,2,1.6666666666666667
giraffe,harbor,1,0.0
friend,relax,3,3.3333333333333335
hawk,nest,5,6.666666666666667
berry,strawberry,6,8.333333333333334
feather,mallard,5,6.666666666666667
breakfast,restaurant,5,6.666666666666667
flower,lily,6,8.333333333333334
dawn,spring,3,3.3333333333333335
brick,interior,3,3.3333333333333335
art,sculpture,5,6.666666666666667
dancer,rusty,1,0.0
arch,concrete,4,5.0
frost,protest,1,0.0
cliff,shore,6,8.333333333333334
hang,rusty,1,0.0
harbour,sea,6,8.333333333333334
shop,summer,1,0.0
building,concrete,6,8.333333333333334
skyline,tower,5,6.666666666666667
feather,sunflower,2,1.6666666666666667
dude,smile,2,1.6666666666666667
brick,construction,6,8.333333333333334
bathroom,sleep,2,1.6666666666666667
cottage,sleep,4,5.0
orange,raspberry,2,1.6666666666666667
hawk,mallard,5,6.666666666666667
dirt,gymnastics,2,1.6666666666666667
abstract,rally,1,0.0
gravestone,silhouette,2,1.6666666666666667
pool,swim,6,8.333333333333334
animal,mural,1,0.0
blue,white,5,6.666666666666667
lighting,person,1,0.0
lamb,snow,1,0.0
clothes,sock,5,6.666666666666667
evening,fun,3,3.3333333333333335
pod,round,2,1.6666666666666667
carrot,potato,6,8.333333333333334
arrow,mural,2,1.6666666666666667
glitter,night,2,1.6666666666666667
cloud,sunny,5,6.666666666666667
night,stop,2,1.6666666666666667
design,orange,2,1.6666666666666667
berry,seed,4,5.0
pregnancy,sit,2,1.6666666666666667
dude,time,1,0.0
ruin,tower,4,5.0
dawn,sunny,5,6.666666666666667
gull,insect,4,5.0
art,collage,5,6.666666666666667
ceramic,tile,6,8.333333333333334
bath,bathroom,7,10.0
drop,fun,1,0.0
smile,stop,1,0.0
meat,pond,1,0.0
station,theatre,3,3.3333333333333335
evening,relax,4,5.0
pigeon,reading,1,0.0
pet,poster,1,0.0
dance,dancer,7,10.0
smoking,vine,1,0.0
brick,rabbit,1,0.0
art,museum,6,8.333333333333334
oak,twig,5,6.666666666666667
dessert,orange,3,3.3333333333333335
blue,swing,2,1.6666666666666667
amphibian,dragonfly,3,3.3333333333333335
dye,kiss,1,0.0
hot,zombie,1,0.0
doll,new,3,3.3333333333333335
cocktail,dandelion,1,0.0
pepper,strawberry,3,3.3333333333333335
mirror,raspberry,1,0.0
cold,wash,3,3.3333333333333335
blue,poster,2,1.6666666666666667
sock,white,4,5.0
cliff,coast,6,8.333333333333334
crane,wild,5,6.666666666666667
dessert,noodle,4,5.0
aquarium,coin,1,0.0
drug,reflection,1,0.0
bicycle,handwriting,1,0.0
cattle,goat,4,5.0
pink,shade,5,6.666666666666667
carrot,city,1,0.0
mom,smile,3,3.3333333333333335
abstract,feel,2,1.6666666666666667
brown,violet,5,6.666666666666667
downtown,sidewalk,5,6.666666666666667
cute,smile,4,5.0
relax,restaurant,3,3.3333333333333335
downtown,urban,7,10.0
swim,swimming,7,10.0
white,yellow,6,8.333333333333334
bacon,burger,5,6.666666666666667
computer,lab,5,6.666666666666667
frozen,salad,5,6.666666666666667
action,dress,1,0.0
book,building,1,0.0
costume,shirt,5,6.666666666666667
photographer,wedding,5,6.666666666666667
brown,gull,3,3.3333333333333335
apartment,patio,5,6.666666666666667
fruit,sweet,5,6.666666666666667
door,staircase,4,5.0
skyline,view,6,8.333333333333334
protest,tile,1,0.0
bus,subway,5,6.666666666666667
coast,scenery,5,6.666666666666667
bedroom,relax,5,6.666666666666667
bed,ceiling,4,5.0
handwriting,sketch,5,6.666666666666667
coast,sketch,3,3.3333333333333335
line,underground,5,6.666666666666667
belly,draw,1,0.0
carrot,soup,5,6.666666666666667
fungus,leather,2,1.6666666666666667
photo,picture,7,10.0
bed,picture,1,0.0
eat,soup,6,8.333333333333334
canine,dog,7,10.0
baseball,game,6,8.333333333333334
friend,guy,6,8.333333333333334
egg,nest,6,8.333333333333334
fruit,raspberry,6,8.333333333333334
sea,shore,6,8.333333333333334
hang,mom,1,0.0
hot,sunshine,3,3.3333333333333335
photographer,portrait,5,6.666666666666667
paper,vine,1,0.0
beach,swimming,5,6.666666666666667
computer,farm,1,0.0
bakery,panorama,1,0.0
bath,wash,6,8.333333333333334
leave,smile,1,0.0
fabric,photo,1,0.0
carrot,tomato,6,8.333333333333334
memorial,rope,1,0.0
fungus,moss,6,8.333333333333334
sunglasses,weed,1,0.0
flower,interior,2,1.6666666666666667
feather,hawk,5,6.666666666666667
festival,music,5,6.666666666666667
car,park,5,6.666666666666667
lake,scenery,5,6.666666666666667
black,yellow,5,6.666666666666667
dead,sidewalk,1,0.0
happy,stop,1,0.0
lick,pier,1,0.0
outfit,punk,5,6.666666666666667
day,lunch,3,3.3333333333333335
lily,purple,4,5.0
outfit,sign,1,0.0
animal,giraffe,5,6.666666666666667
outfit,play,3,3.3333333333333335
dirt,road,4,5.0
paint,portrait,6,8.333333333333334
canine,husky,6,8.333333333333334
drip,wet,5,6.666666666666667
foliage,moss,6,8.333333333333334
orange,purple,5,6.666666666666667
paper,tattoo,3,3.3333333333333335
kiss,rusty,1,0.0
dirt,racing,1,0.0
costume,wig,5,6.666666666666667
rabbit,sphere,1,0.0
fish,leg,1,0.0
guy,haircut,4,5.0
storm,wind,6,8.333333333333334
daffodil,frost,2,1.6666666666666667
park,parking,6,8.333333333333334
ford,valley,3,3.3333333333333335
branch,lego,1,0.0
bible,misty,1,0.0
banana,cherry,5,6.666666666666667
baby,pregnant,5,6.666666666666667
reptile,wild,5,6.666666666666667
punk,vinyl,5,6.666666666666667
flag,stripe,5,6.666666666666667
mother,son,6,8.333333333333334
bed,staircase,4,5.0
jean,skirt,6,8.333333333333334
bright,mist,4,5.0
clothes,skyline,1,0.0
eye,face,6,8.333333333333334
angel,construction,1,0.0
brick,wall,6,8.333333333333334
dirty,drip,3,3.3333333333333335
blue,sky,5,6.666666666666667
night,sunny,4,5.0
aircraft,airplane,7,10.0
church,cookie,1,0.0
star,storm,1,0.0
interior,skyscraper,3,3.3333333333333335
bright,yellow,4,5.0
eat,meat,6,8.333333333333334
snow,weather,5,6.666666666666667
morning,tear,1,0.0
happy,sit,1,0.0
foliage,ivy,5,6.666666666666667
mill,sunflower,2,1.6666666666666667
landscape,scenery,7,10.0
happy,sleep,2,1.6666666666666667
arm,bicycle,2,1.6666666666666667
crystal,dirt,1,0.0
evening,sunny,3,3.3333333333333335
mammal,yellow,1,0.0
lake,valley,5,6.666666666666667
people,stop,2,1.6666666666666667
daffodil,petal,5,6.666666666666667
car,vehicle,6,8.333333333333334
leave,morning,2,1.6666666666666667
dawn,sunshine,3,3.3333333333333335
bloom,flower,6,8.333333333333334
blonde,redhead,6,8.333333333333334
happy,night,2,1.6666666666666667
door,floor,5,6.666666666666667
automobile,police,4,5.0
fungus,rust,3,3.3333333333333335
purple,white,5,6.666666666666667
bedroom,room,6,8.333333333333334
asphalt,moon,2,1.6666666666666667
soup,view,1,0.0
collage,sculpture,2,1.6666666666666667
machine,wash,3,3.3333333333333335
bacon,potato,5,6.666666666666667
potato,rice,5,6.666666666666667
reading,seagull,1,0.0
peel,skin,6,8.333333333333334
camel,desert,6,8.333333333333334
skin,skirt,4,5.0
dancer,palace,3,3.3333333333333335
fruit,salad,5,6.666666666666667
hummingbird,pelican,5,6.666666666666667
shade,whisker,1,0.0
dirty,rabbit,2,1.6666666666666667
airport,asphalt,3,3.3333333333333335
concert,musician,6,8.333333333333334
clothes,jacket,6,8.333333333333334
feel,sleep,1,0.0
patio,sleep,2,1.6666666666666667
bus,crane,1,0.0
burger,meat,6,8.333333333333334
berry,fly,1,0.0
chipmunk,wolf,4,5.0
evening,friend,2,1.6666666666666667
dude,sit,2,1.6666666666666667
christmas,valentine,4,5.0
child,fun,4,5.0
ceiling,mug,1,0.0
happy,kiss,3,3.3333333333333335
bright,shade,5,6.666666666666667
hawk,pelican,5,6.666666666666667
kiss,love,6,8.333333333333334
bike,patio,2,1.6666666666666667
harbour,sink,4,5.0
brown,purple,5,6.666666666666667
purple,stripe,4,5.0
feel,friend,2,1.6666666666666667
crow,hawk,6,8.333333333333334
asphalt,road,6,8.333333333333334
sexy,smile,3,3.3333333333333335
canyon,mountain,6,8.333333333333334
dessert,rice,5,6.666666666666667
scenery,sketch,5,6.666666666666667
collar,skirt,4,5.0
hang,stencil,1,0.0
rabbit,stop,1,0.0
dude,guy,7,10.0
cherry,raspberry,6,8.333333333333334
coin,ticket,5,6.666666666666667
country,library,3,3.3333333333333335
field,squirrel,3,3.3333333333333335
day,time,6,8.333333333333334
female,race,2,1.6666666666666667
book,illustration,5,6.666666666666667
shore,waterfall,5,6.666666666666667
blue,grey,6,8.333333333333334
harbour,port,7,10.0
guitar,musician,6,8.333333333333334
aquarium,seagull,3,3.3333333333333335
magazine,run,1,0.0
cute,sexy,5,6.666666666666667
flame,peacock,1,0.0
happy,idea,2,1.6666666666666667
fruit,sunflower,3,3.3333333333333335
leg,stripe,2,1.6666666666666667
rice,ticket,1,0.0
baseball,shirt,4,5.0
morning,sunset,4,5.0
decoration,lighting,3,3.3333333333333335
bed,bedroom,6,8.333333333333334
drip,rust,2,1.6666666666666667
bible,dirt,1,0.0
kiss,smile,4,5.0
ivy,oak,3,3.3333333333333335
lily,rose,6,8.333333333333334
club,shirt,4,5.0
guitar,punk,5,6.666666666666667
horse,sweet,1,0.0
cloud,sunlight,5,6.666666666666667
asphalt,water,2,1.6666666666666667
green,violet,5,6.666666666666667
shopping,street,4,5.0
flight,fly,7,10.0
bud,purple,4,5.0
misty,sunshine,4,5.0
highway,road,6,8.333333333333334
feline,paw,6,8.333333333333334
ceiling,interior,5,6.666666666666667
fountain,marble,5,6.666666666666667
harbor,ship,6,8.333333333333334
fun,happy,5,6.666666666666667
craft,van,5,6.666666666666667
apple,raspberry,5,6.666666666666667
lingerie,sexy,6,8.333333333333334
carrot,sunflower,4,5.0
band,ear,2,1.6666666666666667
pool,splash,4,5.0
dessert,wine,5,6.666666666666667
bedroom,porch,2,1.6666666666666667
band,piano,5,6.666666666666667
caterpillar,paint,1,0.0
cloud,misty,6,8.333333333333334
art,painting,5,6.666666666666667
burn,fire,6,8.333333333333334
road,traffic,6,8.333333333333334
hotel,oak,2,1.6666666666666667
dawn,misty,5,6.666666666666667
evening,surfer,1,0.0
bacon,dessert,3,3.3333333333333335
night,sticker,1,0.0
dawn,night,5,6.666666666666667
goat,milk,4,5.0
skyscraper,tower,6,8.333333333333334
game,rocket,2,1.6666666666666667
kitchen,room,5,6.666666666666667
dessert,eat,6,8.333333333333334
bench,game,3,3.3333333333333335
feel,stop,2,1.6666666666666667
day,sunshine,4,5.0
handle,tram,1,0.0
ball,curl,1,0.0
construction,downtown,3,3.3333333333333335
blossom,foliage,5,6.666666666666667
ceiling,floor,6,8.333333333333334
beef,downtown,1,0.0
red,white,5,6.666666666666667
puddle,splash,4,5.0
rope,train,1,0.0
skate,skating,6,8.333333333333334
bay,chipmunk,1,0.0
petal,pink,5,6.666666666666667
aircraft,asphalt,2,1.6666666666666667
happy,morning,3,3.3333333333333335
daisy,flower,6,8.333333333333334
canal,number,1,0.0
highway,traffic,6,8.333333333333334
pattern,pier,1,0.0
draw,wing,1,0.0
couple,live,2,1.6666666666666667
guy,hang,2,1.6666666666666667
canine,pet,4,5.0
cute,fun,3,3.3333333333333335
door,window,6,8.333333333333334
bay,swim,5,6.666666666666667
dew,rain,6,8.333333333333334
kid,stop,2,1.6666666666666667
mud,sand,6,8.333333333333334
hair,redhead,5,6.666666666666667
ceiling,porch,3,3.3333333333333335
fishing,rainbow,2,1.6666666666666667
abstract,museum,2,1.6666666666666667
mom,stop,2,1.6666666666666667
dead,hang,4,5.0
bed,room,4,5.0
frozen,ice,6,8.333333333333334
day,sunset,5,6.666666666666667
purple,twig,2,1.6666666666666667
boxer,child,1,0.0
circle,snake,2,1.6666666666666667
mallard,stork,5,6.666666666666667
morning,relax,2,1.6666666666666667
bloom,lily,6,8.333333333333334
bus,rail,4,5.0
brown,red,5,6.666666666666667
beauty,orchid,3,3.3333333333333335
misty,rain,4,5.0
morning,sunrise,6,8.333333333333334
scenery,valley,4,5.0
kitchen,porch,3,3.3333333333333335
ceramic,ocean,1,0.0
eat,frozen,3,3.3333333333333335
cooking,fruit,4,5.0
gasoline,pepper,1,0.0
lunch,sit,2,1.6666666666666667
foliage,rose,4,5.0
concert,piano,5,6.666666666666667
friend,rusty,1,0.0
button,grey,3,3.3333333333333335
black,pink,5,6.666666666666667
cliff,scenery,5,6.666666666666667
bread,chair,2,1.6666666666666667
cocktail,restaurant,3,3.3333333333333335
bikini,sculpture,1,0.0
